Serial_Num,Cnt_Serial,First_Name,Max_wmo_wi,Ave_year,Min_month,Max_month,Min_day,Max_day
1899210N17291,23,UNNAMED,85,1899,7,8,1,31
1901214N33322,70,UNNAMED,80,1901,8,8,2,18
1903252N21288,32,UNNAMED,80,1903,9,9,9,16
1904286N15284,40,UNNAMED,70,1904,10,10,12,21
1906281N11284,64,UNNAMED,105,1906,10,10,8,23
1907262N25281,22,UNNAMED,40,1907,9,9,18,23
1909267N22277,20,UNNAMED,50,1909,9,9,24,28
1910282N11281,58,UNNAMED,130,1910,10,10,9,23
1916234N16300,21,UNNAMED,95,1916,8,8,21,26
1921289N24276,35,UNNAMED,70,1921,10,10,15,24
1924288N16277,39,UNNAMED,145,1924,10,10,14,23
1925331N20274,35,UNNAMED,80,1925,11,12,1,30
1926255N15314,45,UNNAMED,130,1926,9,9,11,22
1928250N14343,61,UNNAMED,140,1928,9,9,6,20
1929262N23296,66,UNNAMED,135,1929,9,10,1,30
1932240N21291,38,UNNAMED,75,1932,8,9,1,31
1933243N18304,32,UNNAMED,120,1933,8,9,1,31
1935241N23291,51,UNNAMED,160,1935,8,9,1,31
1936209N24286,23,UNNAMED,90,1936,7,8,1,31
1941277N21298,43,UNNAMED,105,1941,10,10,3,13
1945255N19302,38,UNNAMED,115,1945,9,9,12,20
1946305N22287,12,UNNAMED,40,1946,10,11,1,31
1947247N15340,72,UNNAMED,125,1947,9,9,4,21
1948262N18281,35,UNNAMED,115,1948,9,9,18,25
1949235N18300,39,UNNAMED,115,1949,8,9,1,31
1950286N16276,30,KING,115,1950,10,10,13,20
1952033N19273,12,UNNAMED,60,1952,2,2,2,5
1953280N21274,39,HAZEL,75,1953,10,10,7,16
1956289N23280,19,UNNAMED,55,1956,10,10,14,18
1960243N10337,71,DONNA,125,1960,8,9,1,31
1962239N25280,29,ALMA,85,1962,8,9,1,31
1964234N13316,63,CLEO,135,1964,8,9,1,31
1965239N11310,68,BETSY,135,1965,8,9,1,31
1968223N25281,28,DOLLY,70,1968,8,8,10,16
1969249N25283,18,GERDA,110,1969,9,9,6,10
1972249N24281,38,DAWN,70,1972,9,9,5,14
1976231N26276,14,DOTTIE,45,1976,8,8,18,21
1979238N12324,54,DAVID,150,1979,8,9,1,31
1981219N11334,59,DENNIS,70,1981,8,8,7,21
1984270N23287,24,ISIDORE,50,1984,9,10,1,30
1985202N26275,20,BOB,65,1985,7,7,21,25
1991181N26282,24,ANA,45,1991,6,7,1,30
1992230N11325,51,ANDREW,150,1992,8,8,16,28
1994313N12278,58,GORDON,75,1994,11,11,8,21
1995235N24281,21,JERRY,35,1995,8,8,22,27
1998295N12284,77,MITCH,155,1998,10,11,1,31
1999286N16278,33,IRENE,95,1999,10,10,12,19
2004247N10332,93,IVAN,145,2004,9,9,2,24
2005289N18282,47,WILMA,160,2005,10,10,15,26
2006237N13298,46,ERNESTO,65,2006,8,9,1,31
2008229N18293,59,FAY,60,2008,8,8,15,28
2010203N22286,17,BONNIE,40,2010,7,7,22,25
